title,location,responsibilities,ntile10,ntile25,ntile50,ntile75,ntile90
Data Scientist,"New York, NY",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,123501,138561,155102,171349,186141
Data Scientist,"Los Angeles, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,116108,130266,145816,161091,174997
Data Scientist,"Chicago, IL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,108912,122193,136779,151107,164152
Data Scientist,"Houston, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,105228,118059,132152,145995,158599
Data Scientist,"Phoenix, AZ",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101414,113780,127363,140704,152851
Data Scientist,"Philadelphia, PA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,109971,123380,138109,152576,165747
Data Scientist,"San Antonio, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99828,112000,125371,138503,150460
Data Scientist,"San Diego, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,110788,124297,139135,153710,166979
Data Scientist,"Dallas, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101994,114431,128091,141509,153725
Data Scientist,"San Jose, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,128840,144550,161806,178755,194187
Data Scientist,"Austin, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,100967,113279,126802,140084,152178
Data Scientist,"Jacksonville, FL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,97302,109167,122199,134999,146654
Data Scientist,"Fort Worth, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,100034,112232,125630,138790,150771
Data Scientist,"Columbus, OH",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101275,113625,127188,140512,152642
Data Scientist,"Charlotte, NC",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,100565,112827,126296,139526,151571
Data Scientist,"San Francisco, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,128326,143974,161161,178043,193413
Data Scientist,"Indianapolis, IN",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99889,112070,125448,138589,150553
Data Scientist,"Seattle, WA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,112250,125937,140971,155738,169182
Data Scientist,"Denver, CO",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,103821,116481,130386,144044,156479
Data Scientist,"Washington, DC",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,114282,128218,143524,158558,172246
Data Scientist,"Boston, MA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,115668,129773,145264,160481,174335
